Precio_Real_MWh,Precio_Predicho_MWh
45.8,92.557686
46.73,83.50778
39.0,72.97741
33.8,59.7042
32.45,52.528606
31.700000000000003,56.16663
32.45,64.60776
41.5,70.76712
50.0,77.82059
57.0,86.88339
42.13,89.15215
37.0,76.255714
35.22,62.419353
38.0,56.35878
31.700000000000003,54.611446
33.8,55.1311
33.08,57.75577
39.4,66.92116
41.5,83.019035
44.230000000000004,88.265686
40.0,84.23354
40.5,81.26639
37.94,80.65712
40.19,77.11094
28.699999999999996,68.15828
22.04,56.933372
11.17,44.47468
5.0,32.080772
3.2,26.431744
3.2,26.91926
11.139999999999999,32.34692
29.619999999999997,40.180508
48.92,54.46494
57.84,81.34253
65.0,100.0415
66.35,96.004555
57.84,86.08255
50.56,81.27525
46.73,86.33981
47.99,92.60445
46.73,94.98283
44.99,90.733315
42.0,89.19575
44.46,92.60394
59.95,93.09616
66.35,89.862885
55.019999999999996,82.6064
43.129999999999995,76.28386
35.0,66.21906
26.78,53.840084
13.999999999999998,35.951347
5.0,16.907503
3.2,3.9806056
3.2,-1.3464208
3.2,-1.1366959
3.2,2.4134173
3.2,6.7039847
3.2,11.125885
3.2,14.458219
0.42999999999999994,9.34165
0.0,0.85191935
0.0,-5.8208447
0.0,-10.479103
0.0,-13.203549
0.0,-14.199232
0.0,-12.716859
0.42999999999999994,-8.343286
3.2,8.791662
25.01,39.41801
36.46,50.897842
37.9,41.072735
32.68,32.0627
23.0,32.024395
35.0,36.423115
23.26,31.818144
22.01,22.244114
20.5,14.599908
25.0,13.953233
24.98,18.745628
37.9,26.0783
40.19,34.61528
41.0,41.23906
42.099999999999994,44.39857
43.459999999999994,41.09104
40.19,37.2719
39.9,35.154903
40.19,32.127853
39.98,32.93617
39.99,38.855106
46.73,47.150223
61.94,63.465317
83.13,83.39208
83.98,92.7428
76.82,89.347176
70.01,81.569336
56.93999999999999,78.31418
40.7,71.98719
39.23,60.598576
38.12,47.480644
35.0,34.16713
33.76,28.897772
33.76,33.98343
35.1,47.431637
37.4,59.985
39.88,69.15413
50.5,80.48286
46.78,83.467255
40.0,73.755424
35.6,61.70342
33.76,51.615616
35.6,46.43141
35.0,44.154064
