value,datetime,datetime_utc,tz_time,geo_id,geo_name
172.14,2022-01-01T16:00:00.000+01:00,2022-01-01T15:00:00Z,2022-01-01T15:00:00.000Z,8741,Península
212.24,2022-01-01T17:00:00.000+01:00,2022-01-01T16:00:00Z,2022-01-01T16:00:00.000Z,8743,Baleares
212.24,2022-01-01T17:00:00.000+01:00,2022-01-01T16:00:00Z,2022-01-01T16:00:00.000Z,8741,Península
212.24,2022-01-01T17:00:00.000+01:00,2022-01-01T16:00:00Z,2022-01-01T16:00:00.000Z,8745,Melilla
212.24,2022-01-01T17:00:00.000+01:00,2022-01-01T16:00:00Z,2022-01-01T16:00:00.000Z,8744,Ceuta
212.24,2022-01-01T17:00:00.000+01:00,2022-01-01T16:00:00Z,2022-01-01T16:00:00.000Z,8742,Canarias
240.74,2022-01-01T18:00:00.000+01:00,2022-01-01T17:00:00Z,2022-01-01T17:00:00.000Z,8745,Melilla
240.74,2022-01-01T18:00:00.000+01:00,2022-01-01T17:00:00Z,2022-01-01T17:00:00.000Z,8744,Ceuta
240.74,2022-01-01T18:00:00.000+01:00,2022-01-01T17:00:00Z,2022-01-01T17:00:00.000Z,8742,Canarias
240.74,2022-01-01T18:00:00.000+01:00,2022-01-01T17:00:00Z,2022-01-01T17:00:00.000Z,8743,Baleares
240.74,2022-01-01T18:00:00.000+01:00,2022-01-01T17:00:00Z,2022-01-01T17:00:00.000Z,8741,Península
244.33,2022-01-01T19:00:00.000+01:00,2022-01-01T18:00:00Z,2022-01-01T18:00:00.000Z,8744,Ceuta
244.33,2022-01-01T19:00:00.000+01:00,2022-01-01T18:00:00Z,2022-01-01T18:00:00.000Z,8745,Melilla
244.33,2022-01-01T19:00:00.000+01:00,2022-01-01T18:00:00Z,2022-01-01T18:00:00.000Z,8741,Península
244.33,2022-01-01T19:00:00.000+01:00,2022-01-01T18:00:00Z,2022-01-01T18:00:00.000Z,8743,Baleares
244.33,2022-01-01T19:00:00.000+01:00,2022-01-01T18:00:00Z,2022-01-01T18:00:00.000Z,8742,Canarias
247.11,2022-01-01T20:00:00.000+01:00,2022-01-01T19:00:00Z,2022-01-01T19:00:00.000Z,8744,Ceuta
247.11,2022-01-01T20:00:00.000+01:00,2022-01-01T19:00:00Z,2022-01-01T19:00:00.000Z,8745,Melilla
247.11,2022-01-01T20:00:00.000+01:00,2022-01-01T19:00:00Z,2022-01-01T19:00:00.000Z,8742,Canarias
247.11,2022-01-01T20:00:00.000+01:00,2022-01-01T19:00:00Z,2022-01-01T19:00:00.000Z,8743,Baleares
247.11,2022-01-01T20:00:00.000+01:00,2022-01-01T19:00:00Z,2022-01-01T19:00:00.000Z,8741,Península
248.38,2022-01-01T21:00:00.000+01:00,2022-01-01T20:00:00Z,2022-01-01T20:00:00.000Z,8745,Melilla
248.38,2022-01-01T21:00:00.000+01:00,2022-01-01T20:00:00Z,2022-01-01T20:00:00.000Z,8744,Ceuta
248.38,2022-01-01T21:00:00.000+01:00,2022-01-01T20:00:00Z,2022-01-01T20:00:00.000Z,8741,Península
248.38,2022-01-01T21:00:00.000+01:00,2022-01-01T20:00:00Z,2022-01-01T20:00:00.000Z,8743,Baleares
248.38,2022-01-01T21:00:00.000+01:00,2022-01-01T20:00:00Z,2022-01-01T20:00:00.000Z,8742,Canarias
248.88,2022-01-01T22:00:00.000+01:00,2022-01-01T21:00:00Z,2022-01-01T21:00:00.000Z,8743,Baleares
248.88,2022-01-01T22:00:00.000+01:00,2022-01-01T21:00:00Z,2022-01-01T21:00:00.000Z,8745,Melilla
248.88,2022-01-01T22:00:00.000+01:00,2022-01-01T21:00:00Z,2022-01-01T21:00:00.000Z,8744,Ceuta
248.88,2022-01-01T22:00:00.000+01:00,2022-01-01T21:00:00Z,2022-01-01T21:00:00.000Z,8741,Península
248.88,2022-01-01T22:00:00.000+01:00,2022-01-01T21:00:00Z,2022-01-01T21:00:00.000Z,8742,Canarias
229.1,2022-01-01T23:00:00.000+01:00,2022-01-01T22:00:00Z,2022-01-01T22:00:00.000Z,8742,Canarias
229.1,2022-01-01T23:00:00.000+01:00,2022-01-01T22:00:00Z,2022-01-01T22:00:00.000Z,8743,Baleares
229.1,2022-01-01T23:00:00.000+01:00,2022-01-01T22:00:00Z,2022-01-01T22:00:00.000Z,8745,Melilla
229.1,2022-01-01T23:00:00.000+01:00,2022-01-01T22:00:00Z,2022-01-01T22:00:00.000Z,8741,Península
229.1,2022-01-01T23:00:00.000+01:00,2022-01-01T22:00:00Z,2022-01-01T22:00:00.000Z,8744,Ceuta
186.21,2022-01-02T00:00:00.000+01:00,2022-01-01T23:00:00Z,2022-01-01T23:00:00.000Z,8744,Ceuta
186.21,2022-01-02T00:00:00.000+01:00,2022-01-01T23:00:00Z,2022-01-01T23:00:00.000Z,8741,Península
186.21,2022-01-02T00:00:00.000+01:00,2022-01-01T23:00:00Z,2022-01-01T23:00:00.000Z,8745,Melilla
186.21,2022-01-02T00:00:00.000+01:00,2022-01-01T23:00:00Z,2022-01-01T23:00:00.000Z,8743,Baleares
186.21,2022-01-02T00:00:00.000+01:00,2022-01-01T23:00:00Z,2022-01-01T23:00:00.000Z,8742,Canarias
168.59,2022-01-02T01:00:00.000+01:00,2022-01-02T00:00:00Z,2022-01-02T00:00:00.000Z,8741,Península
168.59,2022-01-02T01:00:00.000+01:00,2022-01-02T00:00:00Z,2022-01-02T00:00:00.000Z,8742,Canarias
168.59,2022-01-02T01:00:00.000+01:00,2022-01-02T00:00:00Z,2022-01-02T00:00:00.000Z,8744,Ceuta
168.59,2022-01-02T01:00:00.000+01:00,2022-01-02T00:00:00Z,2022-01-02T00:00:00.000Z,8743,Baleares
168.59,2022-01-02T01:00:00.000+01:00,2022-01-02T00:00:00Z,2022-01-02T00:00:00.000Z,8745,Melilla
164.36,2022-01-02T02:00:00.000+01:00,2022-01-02T01:00:00Z,2022-01-02T01:00:00.000Z,8744,Ceuta
164.36,2022-01-02T02:00:00.000+01:00,2022-01-02T01:00:00Z,2022-01-02T01:00:00.000Z,8741,Península
164.36,2022-01-02T02:00:00.000+01:00,2022-01-02T01:00:00Z,2022-01-02T01:00:00.000Z,8745,Melilla
164.36,2022-01-02T02:00:00.000+01:00,2022-01-02T01:00:00Z,2022-01-02T01:00:00.000Z,8742,Canarias
164.36,2022-01-02T02:00:00.000+01:00,2022-01-02T01:00:00Z,2022-01-02T01:00:00.000Z,8743,Baleares
168.8,2022-01-02T03:00:00.000+01:00,2022-01-02T02:00:00Z,2022-01-02T02:00:00.000Z,8745,Melilla
168.8,2022-01-02T03:00:00.000+01:00,2022-01-02T02:00:00Z,2022-01-02T02:00:00.000Z,8743,Baleares
168.8,2022-01-02T03:00:00.000+01:00,2022-01-02T02:00:00Z,2022-01-02T02:00:00.000Z,8742,Canarias
168.8,2022-01-02T03:00:00.000+01:00,2022-01-02T02:00:00Z,2022-01-02T02:00:00.000Z,8744,Ceuta
168.8,2022-01-02T03:00:00.000+01:00,2022-01-02T02:00:00Z,2022-01-02T02:00:00.000Z,8741,Península
173.15,2022-01-02T04:00:00.000+01:00,2022-01-02T03:00:00Z,2022-01-02T03:00:00.000Z,8743,Baleares
