datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-08 18:00:00,129.99,80.43097413456277,49.559025865437235,18,1
2024-01-08 19:00:00,130.0,95.83568669607499,34.16431330392501,19,1
2024-01-08 20:00:00,133.28,92.49525485767768,40.78474514232232,20,1
2024-01-08 21:00:00,129.47,87.06300010885484,42.40699989114516,21,1
2024-01-08 22:00:00,115.42,73.84679270879225,41.57320729120775,22,1
2024-01-08 23:00:00,107.98,65.59477789140898,42.38522210859102,23,1
2024-01-09 00:00:00,98.92,48.20293698631022,50.71706301368978,0,1
2024-01-09 01:00:00,100.0,39.49087309210791,60.50912690789209,1,1
2024-01-09 02:00:00,98.43,38.30870745531737,60.12129254468264,2,1
2024-01-09 03:00:00,98.62,33.83313744650896,64.78686255349105,3,1
2024-01-09 04:00:00,97.15,30.012557820321,67.137442179679,4,1
2024-01-09 05:00:00,97.53,29.578361636957656,67.95163836304235,5,1
2024-01-09 06:00:00,102.79,36.69394750388141,66.0960524961186,6,1
2024-01-09 07:00:00,108.28,44.36720909927158,63.912790900728425,7,1
2024-01-09 08:00:00,122.55,49.71512092884819,72.83487907115182,8,1
2024-01-09 09:00:00,120.75,51.61365892409131,69.13634107590869,9,1
2024-01-09 10:00:00,110.32,47.145871975869426,63.17412802413057,10,1
2024-01-09 11:00:00,107.67,38.49125998885479,69.17874001114521,11,1
2024-01-09 12:00:00,107.01,36.42064158053095,70.58935841946905,12,1
2024-01-09 13:00:00,106.48,32.547534060780386,73.93246593921961,13,1
2024-01-09 14:00:00,107.07,31.828481272484254,75.24151872751574,14,1
2024-01-09 15:00:00,114.75,36.99867772168892,77.75132227831108,15,1
2024-01-09 16:00:00,124.29,55.11754818619117,69.17245181380883,16,1
2024-01-09 17:00:00,137.35,78.57526142025426,58.77473857974573,17,1
2024-01-09 18:00:00,137.0,90.55297012183726,46.44702987816274,18,1
2024-01-09 19:00:00,138.95,105.8359363027549,33.114063697245086,19,1
2024-01-09 20:00:00,148.01,102.78506831571963,45.224931684280364,20,1
2024-01-09 21:00:00,130.0,96.57800269087413,33.42199730912587,21,1
2024-01-09 22:00:00,111.86,80.20375373610058,31.65624626389942,22,1
2024-01-09 23:00:00,106.11,72.29142720565594,33.818572794344064,23,1
2024-01-10 00:00:00,92.33,54.56782130357842,37.76217869642158,0,1
2024-01-10 01:00:00,90.12,46.05945837432293,44.060541625677075,1,1
2024-01-10 02:00:00,87.01,44.91573409613219,42.094265903867814,2,1
2024-01-10 03:00:00,85.8,40.13525991256702,45.664740087432975,3,1
2024-01-10 04:00:00,85.0,36.50278212442575,48.49721787557425,4,1
