iter	Passed	Remaining
1065	60748	53226
1066	60805	53169
1067	60855	53105
1068	60912	53049
1069	60961	52984
1070	61010	52921
1071	61062	52860
1072	61111	52796
1073	61197	52764
1074	61253	52706
1075	61308	52647
1076	61358	52584
1077	61409	52522
1078	61461	52461
1079	61513	52400
1080	61554	52329
1081	61604	52267
1082	61660	52208
1083	61710	52146
1084	61766	52088
1085	61814	52024
1086	61870	51966
1087	61915	51900
1088	61970	51841
1089	62021	51779
1090	62088	51731
1091	62143	51672
1092	62197	51613
1093	62253	51555
1094	62320	51506
1095	62374	51447
1096	62436	51394
1097	62503	51346
1098	62556	51286
1099	62612	51228
1100	62664	51167
1101	62720	51109
1102	62773	51049
1103	62827	50990
1104	62874	50925
1105	62925	50864
1106	62980	50805
1107	63032	50744
1108	63089	50687
1109	63145	50630
1110	63204	50575
1111	63257	50514
1112	63315	50458
1113	63370	50400
1114	63425	50342
1115	63483	50286
1116	63546	50234
1117	63602	50176
1118	63662	50122
1119	63731	50074
1120	63777	50009
1121	63833	49951
1122	63884	49890
1123	63938	49830
1124	63983	49764
1125	64034	49703
1126	64084	49641
1127	64137	49581
1128	64193	49523
1129	64245	49463
1130	64300	49405
1131	64359	49350
1132	64416	49293
1133	64473	49236
1134	64523	49174
1135	64574	49113
1136	64627	49053
1137	64680	48993
1138	64727	48928
1139	64844	48917
1140	64918	48873
1141	64971	48814
1142	65029	48758
1143	65082	48698
1144	65135	48638
1145	65188	48578
1146	65239	48517
1147	65306	48467
1148	65357	48406
1149	65412	48348
1150	65464	48287
1151	65516	48227
1152	65568	48167
1153	65629	48112
1154	65664	48040
1155	65716	47980
1156	65773	47922
1157	65827	47864
1158	65879	47803
1159	65940	47750
1160	65994	47691
1161	66045	47630
1162	66094	47567
1163	66155	47513
1164	66212	47457
1165	66278	47406
1166	66329	47345
1167	66383	47286
1168	66434	47226
1169	66494	47171
1170	66544	47109
1171	66597	47050
1172	66657	46995
1173	66712	46937
1174	66768	46879
1175	66825	46823
1176	66881	46766
1177	66935	46706
1178	66978	46640
1179	67026	46577
1180	67079	46518
1181	67133	46459
1182	67200	46409
1183	67252	46349
1184	67305	46290
1185	67358	46230
1186	67412	46172
1187	67465	46112
1188	67522	46055
1189	67567	45991
1190	67619	45931
1191	67803	45960
1192	67859	45903
1193	67909	45842
1194	67964	45783
1195	68017	45724
1196	68067	45662
1197	68127	45607
1198	68173	45543
1199	68225	45483
1200	68283	45427
1201	68337	45368
1202	68386	45306
1203	68442	45249
1204	68494	45189
1205	68546	45129
1206	68598	45069
1207	68648	45007
1208	68709	44953
1209	68761	44894
1210	68817	44836
1211	68869	44776
1212	68925	44719
1213	68979	44660
1214	69028	44598
1215	69082	44539
1216	69135	44480
1217	69186	44420
1218	69241	44362
1219	69296	44304
1220	69348	44244
1221	69400	44184
1222	69450	44123
1223	69505	44065
1224	69558	44006
1225	69610	43946
1226	69668	43890
1227	69719	43830
1228	69770	43769
1229	69819	43708
1230	69879	43653
1231	69943	43601
1232	69998	43543
